file	bgc_class
1A01_1.region001.gbk	RiPP-like
1A01_13.region001.gbk	arylpolyene
1A01_13.region002.gbk	hglE-KS
1A01_2.region001.gbk	NRPS
1A01_28.region001.gbk	RiPP-like
1A01_31.region001.gbk	betalactone
1A01_35.region001.gbk	opine-like-metallophore
1A01_5.region001.gbk	terpene-precursor
